area, [ˋɛrɪə] n. 面積
an, [æ n] art. 一
arm, (1) [ɑrm] n. 手臂
able, [ˋeb!] adj. 能，可以
army, [ˋɑrmɪ] n. 軍隊
about, [əˋbaʊt] prep. 關於
around, [əˋraʊnd] adv. / prep. 到處
above, [əˋbʌv] prep. adv. 在…上面
art, [ɑrt] n. 藝術
according to, [əˋkɔrdɪŋ tu] 根據
as, [æ z] prep. adv. conj. 當作、如同
across, [əˋkrɔs] prep. 穿過
ask, [æ sk] vt. 詢問
act, [æ kt] vt. 扮演
at, [æ t] prep. 在…地點
action, [ˋækʃən] n. 行動
August, [ɔˋgʌst] n. 八月
actor, [ˋæktɚ] n.男演員
actress, [ˋæktrɪs] n.女演員
aunt, [æ nt] n.伯母
autumn, [ˋɔtəm] n.秋天
fall, [fɔl] n.秋天
add, [æ d] vt.添加
away, [əˋwe] adv. 隔開
address, [əˋdrɛs] n.地址
baby, [ˋbebɪ] n.嬰兒
adult, [əˋdʌlt] n.成人
back, [bæ k] n. 背部
afraid, [əˋfred] adj. 害怕
bad, [bæ d] adj. 壞的
after, [ˋæftɚ] prep. 在…以後
bag, [bæ g] n. 袋子
afternoon, [ˋæftɚˋnun] n. 午後
ball, [bɔl] n. 球
again, [əˋgɛn] adv. 再
balloon, [bəˋlun] n. 氣球
against, [əˋgɛnst] prep. 反對
banana, [bəˋnænə] n. 香蕉
age, [edʒ] n. 年齡
band, [bæ nd] n. 綁帶
ago, [əˋgo] adv. 在…之前
bank, [bæŋk] n. (1)銀行 (2) 河堤
agree, [əˋgri] vi.同意
agreement, [əˋgrimənt] n.同意
bar, [bɑr] n. 棒；酒吧
ahead, [əˋhɛd] adv. 在前
barber, [ˋbɑrbɚ] n. 理髮師
air, [ɛr] n. 空氣
base, [bes] n. 基底
airmail, [ˋɛr͵mel] n. 航空郵政
baseball, [ˋbes͵bɔl] n. 棒球
airplane, [ˋɛr͵plen] n. 飛機
basic, [ˋbesɪk] adj. 基礎的
airport, [ˋɛr͵port] n. 機場
basket, [ˋbæskɪt] n. 籃子
all, [ɔl] adj. 一切的
basketball, [ˋbæskɪt͵bɔl] n. 籃球
allow, [əˋlaʊ] vt. 允許
bat, [bæ t] n. (1)球棒 (2)蝙蝠
almost, [ˋɔl͵most] adv. 幾乎
bath, [bæθ] n. 沐浴；浴缸
alone, [əˋlon] adj. adv. 單獨的
bathe, [beð] vt. 浸洗
along, [əˋlɔŋ] prep. 沿著
bathroom, [ˋbæθ͵rum] n. 浴室
already, [ɔlˋrɛdɪ] adv. 已經
be, [bi] vi. 是
also, [ˋɔlso] adv. 也
beach, [bitʃ] n. 海灘
always, [ˋɔlwez] adv. 總是
bear, [bɛr] n. (1) 熊
am, [æ m] (第一人稱) vi. 是
beat, [bit] vt. 打、擊
among, [əˋmʌŋ] prep. 在…之中
beautiful, [ˋbjutəfəl] adj. 美麗的
and, [æ nd] conj. 和
beauty, [ˋbjutɪ] n. 美麗
anger, [ˋæŋgɚ] n. 憤怒
because, [bɪˋkɔz] conj. 因為
angry, [ˋæŋgrɪ] adj. 生氣的
become, [bɪˋkʌm] vi. 成為
animal, [ˋænəm!] n. 動物
bed, [bɛd] n. 床
another, [əˋnʌðɚ] adj.另外的
bee, [bi] n. 蜜蜂
answer, [ˋænsɚ] n. / vt. 回答
before, [bɪˋfor] prep. 在…之前
ant, [æ nt] n. 螞蟻
begin, [bɪˋgɪn] vt. 開始
any, [ˋɛnɪ] adj. 任何的
behind, [bɪˋhaɪnd] prep.在…後面
anything, [ˋɛnɪ͵θɪŋ] n. 任何東西
believe, [bɪˋliv] vt. 相信
ape, [ep] n. 大猩猩
bell, [bɛl] n. 鈴
appear, [əˋpɪr] vi. 出現
belong, [bəˋlɔŋ] vi. 屬於
apple, [ˋæp!] n. 蘋果
below, [bəˋlo] prep. 在…下面
April, [ˋeprəl] n. 四月
beside, [bɪˋsaɪd] prep. 在旁邊
are, [ɑr] (第二人稱) vi. 是
best, [bɛst] adj. 最好的
better, [ˋbɛtɚ] adj. 較好的
cap, [kæ p] n. 棒球帽
between, [bɪˋtwin] prep.在…之間
car, [kɑr] n. 汽車
bicycle, [ˋbaɪsɪk!] n.腳踏車
bike, [baɪk] n.腳踏車
card, [kɑrd] n. 紙牌
care, [kɛr] vi. 關心
big, [bɪg] adj. 大的
careful, [ˋkɛrfəl] adj. 小心的
bird, [bɝd] n. 鳥
carry, [ˋkærɪ] vt.(用手)提、搬、扛
birth, [bɝθ] n. 出生
case, [kes] n. (1)箱子 (2)案件
bit, [bɪt] n. 一點
cat, [kæ t] n. 貓
bite, [baɪt] vt. 咬
catch, [kæ tʃ] vt. 接住、抓住
black, [blæ k] adj. 黑色的
cause, [kɔz] n. 原因
block, [blɑk] n. 街區
cent, [sɛnt] n. 分(美元)
blood, [blʌd] n. 血
center, [ˋsɛntɚ] n. 中心
blow, [blo] vt. 吹
certain, [ˋsɝtən] adj. 確切的
blue, [blu] adj. 藍色的
chair, [tʃɛr] n. 椅子
boat, [bot] n. 小船
chance, [tʃæ ns] n. 機會
body, [ˋbɑdɪ] n. 身體
chart, [tʃɑrt] n. 圖表
bone, [bon] n. 骨頭
chase, [tʃes] vt. 追捕
book, [bʊk] (1) n.書 (2) vt.預定
check, [tʃɛk] vt. 檢查
born, [bɔrn] a. 出生的
chick, [tʃɪk] n. 小雞
both, [boθ] adj./adv.兩者都
chicken, [ˋtʃɪkɪn] n. 雞
bottom, [ˋbɑtəm] n. 底部
chief, [tʃif] n. 領袖
bowl, [bol] n. 碗
child, [tʃaɪld] n. 小孩
box, [bɑks] n. 箱子
Christmas, [ˋkrɪsməs] n.聖誕節
boy, [bɔɪ] n. 男孩
church, [tʃɝtʃ] n. 教堂
brave, [brev] adj. 勇敢的
city, [ˋsɪtɪ] n. 城市
