abandon, [əˋbændən] vt.放棄，中止
alcohol, [ˋælkə͵hɔl] n.酒精；含酒精飲料；酒
abdomen, [ˋæbdəmən] n.腹；腹部
absolute, [ˋæbsə͵lut] a.絕對的；完全的
alert, [əˋlɝt] a.警覺的；警惕的 n.警戒，警報 vt.使警覺；使注意
absorb, [əbˋsɔrb] vt.吸收；吸引(注意等)；使專注
allowance, [əˋlaʊəns] n.零用錢；津貼，補貼
abstract, [ˋæbstrækt] a.抽象的 n.摘要，梗概
academic, [͵ækəˋdɛmɪk] a.學術的
aluminum, [əˋlumɪnəm] n.鋁[U]
accent, [ˋæksɛnt] n.口音，腔調；重音；強調
ante meridiem, n.【拉】午前
acceptance, [əkˋsɛptəns] n.接受；歡迎
access, [ˋæksɛs] n.接近，進入；通道，入口 vt.使用；接近
amateur, [ˋæmə͵tʃʊr] n.業餘從事者
ambitious, [æmˋbɪʃəs] a.有雄心的；野心勃勃的
accidental, [͵æksəˋdɛnt!] a.偶然的；意外的
accompany, [əˋkʌmpənɪ] vt.陪伴；為…伴奏
amid, [əˋmɪd] prep.在…之間；在…之中
accomplish, [əˋkɑmplɪʃ] vt.完成，實現，達到
accomplishment, [əˋkɑmplɪʃmənt] n.成就；成績[C]
amuse, [əˋmjuz] vt.使歡樂，逗…高興
amusement, [əˋmjuzmənt] n.樂趣；娛樂，消遣
accountant, [əˋkaʊntənt] n.會計師；會計人員
accuracy, [ˋækjərəsɪ] n.正確(性)；準確(性)
analysis, [əˋnæləsɪs] n.分析；分解；解析
accuse, [əˋkjuz] vt.指控，控告；譴責
acid, [ˋæsɪd] a.酸的，有酸味的 n.【化】酸
analyze, [ˋæn!͵aɪz] vt.分析；解析
ancestor, [ˋænsɛstɚ] n.祖宗，祖先
acquaint, [əˋkwent] vt.使認識；使熟悉
anniversary, [͵ænəˋvɝsərɪ] n.週年紀念日
acquaintance, [əˋkwentəns] n.(與人)相識 相識的人，熟人[C]
annoy, [əˋnɔɪ] vt.惹惱，使生氣
annual, [ˋænjʊəl] a.一年的；一年一次的
anxiety, [æŋˋzaɪətɪ] n.焦慮，掛念
anxious, [ˋæŋkʃəs] a.焦慮的，掛念的
acquire, [əˋkwaɪr] vt.取得，獲得；學到
apologize, [əˋpɑlə͵dʒaɪz] vi.道歉；認錯
acre, [ˋekɚ] n.英畝
apology, [əˋpɑlədʒɪ] n.道歉；陪罪[(+to/for)]
adapt, [əˋdæpt] vt.使適應，使適合；改編，改寫
appliance, [əˋplaɪəns] n.器具，用具；裝置，設備[C]
adequate, [ˋædəkwɪt] a.適當的；足夠的
applicant, [ˋæpləkənt] n.申請人[C][(+for)]
adjective, [ˋædʒɪktɪv] n.形容詞 a.形容詞的
application, [͵æpləˋkeʃən] n.應用，適用；申請；申請書
adjust, [əˋdʒʌst] vt.調節；校準；調整
adjustment, [əˋdʒʌstmənt] n.調節；調整；校正
appoint, [əˋpɔɪnt] vt.任命，指派
appointment, [əˋpɔɪntmənt] n.(尤指正式的)約會[C]；任命，委派[U]
admirable, [ˋædmərəb!] a.值得讚揚的；令人欽佩的
appreciation, [ə͵priʃɪˋeʃən] n.欣賞；賞識；感謝
admiration, [æ dməˋreʃən] n.欽佩，讚美，羨慕
appropriate, [əˋproprɪ͵et] a.適當的，恰當的
admission, [ədˋmɪʃən] n.(學校，會場，俱樂部等的)進入許可；入場費[U]；入場券[C]
approval, [əˋpruv!] n.批准；認可；贊成；同意；承認[C]
arch, [ɑrtʃ] n.拱，拱門，牌樓
adverb, [ˋædvɚb] n.副詞 a.副詞的
arise, [əˋraɪz] vi.上升；產生，出現；【舊】起立
agency, [ˋedʒənsɪ] n.代辦處，經銷處
agent, [ˋedʒənt] n.代理人；代理商；仲介人
arms, [ɑrmz] n.武器
aggressive, [əˋgrɛsɪv] a.侵略的，有進取精神的
arouse, [əˋraʊz] vt.喚起；使奮發
article1, [ˋɑrtɪk!] n.冠詞；文章；物品；條文
agreeable, [əˋgriəb!] a.令人愉快的，宜人的
artificial, [͵ɑrtəˋfɪʃəl] a.人工的，人造的；假的
acquired immune deficiency syndrome, [edz] n.愛滋病
artistic, [ɑrˋtɪstɪk] a.藝術的；美術的
ashamed, [əˋʃemd] a.羞愧的，感到難為情的
barrier, [ˋbærɪr] n.障礙物；路障，柵欄
aspect, [ˋæspɛkt] n.方面，觀點
basin, [ˋbesn] n.盆；臉盆；盆地
aspirin, [ˋæspərɪn] n.阿斯匹靈(解熱鎮痛藥)
battery, [ˋbætərɪ] n.電池
assemble, [əˋsɛmb!] vt.集合，召集；組合，裝配
beak, [bik] n.鳥嘴
beam, [bim] n.笑容，喜色 vt.流露；發出 vi.眉開眼笑
assembly, [əˋsɛmblɪ] n.集會；集合
assign, [əˋsaɪn] vt.分配，分派；指定
behavior, [bɪˋhevjɚ] n.行為，舉止 [U]
assignment, [əˋsaɪnmənt] n.(分派的)任務；工作[C];(課外)作業，功課[C]
biography, [baɪˋɑgrəfɪ] n.傳記[C]
biology, [baɪˋɑlədʒɪ] n.生物學[U]
blade, [bled] n.刀身，劍身；刀片
blend, [blɛnd] vt.vi.使混和，使混雜；使交融
assistance, [əˋsɪstəns] n.援助，幫助[U][(+in)]
blessing, [ˋblɛsɪŋ] n.(上帝的)賜福；祝福
associate, [əˋsoʃɪɪt] n.夥伴；同事；合夥人 a.夥伴的；共事的
blink, [blɪŋk] vi.vt.n.眨眼睛；瞇著眼看[(+at)]
associate, [əˋsoʃɪet] vt.聯想
bloom, [blum] n.(尤指觀賞的)花；開花(期)[U] vi.開花(期)[U]
association, [ə͵sosɪˋeʃən] n.協(公)會；聯想，聯想物
blossom, [ˋblɑsəm] n.(尤指果樹的)花[C];vi.開花
assume, [əˋsjum] vt.以為；假定為；承擔；就任
blush, [blʌʃ] vi.n.(因害羞，尷尬等而)臉紅
assurance, [əˋʃʊrəns] n.保證
boast, [bost] vi.n.自吹自擂；誇耀；吹牛
assure, [əˋʃʊr] vt.向…保證，擔保；使確信，使放心[(+of)]
bond, [bɑnd] n.結合力；聯結；契約，約定[C] vt.vi.黏合；結合
athletic, [æθˋlɛtɪk] a. 運動的，體育的
automatic teller machine, n.自動存提款機
bounce, [baʊns] vt.vi.n.(球)彈起，彈回；蹦跳
bracelet, [ˋbreslɪt] n.手鐲；臂鐲
atmosphere, [ˋætməs͵fɪr] n.大氣層；氣氛
brassiere, [brəˋzɪr] n.胸罩
bra, [brɑ] n.胸罩
atom, [ˋætəm] n.原子
breed, [brid] vt.vi.(動物)產(子)，孵(卵)；繁殖；養育 n.品種
atomic, [əˋtɑmɪk] a.原子的
attach, [əˋtætʃ] vt.裝上，貼上，繫上[(+to)]
attachment, [əˋtætʃmənt] n.連接；附著[U][(+to)]；附屬物；附件
bridegroom, [ˋbraɪd͵grʊm] n.新郎
broil, [brɔɪl] vt.vi.n.烤，炙
broke, [brok] a.【口】破了產的；一文不名的
brutal, [ˋbrut!] a.殘忍的，冷酷的；野蠻的
attraction, [əˋtrækʃən] n.吸引；吸引力[U]；吸引物[C]
bulletin, [ˋbʊlətɪn] n.公告；公報
cabinet, [ˋkæbənɪt] n.櫥，櫃[C]；內閣；全體閣員
audio, [ˋɔdɪ͵o] a. 聽覺的，聲音的 n.(電視等的)音響裝置
calculate, [ˋkælkjə͵let] vt.vi.計算
authority, [əˋθɔrətɪ] n.權力；職權[U]；官方，當局；權威人士；專家
